epoch,categorical_accuracy,categorical_recall,loss,val_categorical_accuracy,val_categorical_recall,val_loss
58,1.0,0.3321333,0.0,0.5,0.33214443922042847,670.6581420898438
59,1.0,0.33215478,0.0,0.5,0.33216434717178345,669.9702758789062
60,1.0,0.33217365,0.0,0.5,0.3321811258792877,669.2619018554688
61,1.0,0.33218992,0.0,0.5,0.33219724893569946,668.5537719726562
62,1.0,0.33220538,0.0,0.5,0.3322136104106903,667.8509521484375
63,1.0,0.332224,0.0,0.5,0.3322329521179199,667.151611328125
64,1.0,0.33223993,0.0,0.5,0.33224666118621826,666.4551391601562
65,1.0,0.33225355,0.0,0.5,0.3322612941265106,665.7471313476562
66,1.0,0.3322701,0.0,0.5,0.3322780728340149,665.0228881835938
67,1.0,0.332287,0.0,0.5,0.3322945237159729,664.277587890625
68,1.0,0.3323025,0.0,0.5,0.33231034874916077,663.5824584960938
69,1.0,0.3323185,0.0,0.5,0.33232492208480835,662.881103515625
70,1.0,0.3323321,0.0,0.5,0.3323381841182709,662.1629028320312
71,1.0,0.33234504,0.0,0.5,0.3323518931865692,661.4242553710938
72,1.0,0.33235878,0.0,0.5,0.332366406917572,660.6539916992188
73,1.0,0.33237347,0.0,0.5,0.33238187432289124,659.86669921875
74,1.0,0.33238825,0.0,0.5,0.3323943316936493,659.074462890625
75,1.0,0.3324008,0.0,0.5,0.33240562677383423,658.275634765625
76,1.0,0.33241197,0.0,0.5,0.33241891860961914,657.4608764648438
77,1.0,0.3324245,0.0,0.5,0.3324314057826996,656.6272583007812
78,1.0,0.33243626,0.0,0.5,0.33244267106056213,655.7513427734375
79,1.0,0.33244962,0.0,0.5,0.3324555456638336,654.8214721679688
80,1.0,0.33246195,0.0,0.5,0.3324669897556305,653.8750610351562
81,1.0,0.33247155,0.0,0.5,0.33247658610343933,652.9067993164062
82,1.0,0.33248278,0.0,0.5,0.3324893116950989,651.9234008789062
83,1.0,0.33249483,0.0,0.5,0.3325001001358032,650.932373046875
84,1.0,0.33250484,0.0,0.5,0.33250871300697327,649.9277954101562
85,1.0,0.33251455,0.0,0.5,0.33251968026161194,648.9020385742188
86,1.0,0.33252323,0.0,0.5,0.332528293132782,647.8585815429688
87,1.0,0.33253244,0.0,0.5,0.3325372636318207,646.8068237304688
88,1.0,0.33254284,0.0,0.5,0.33254772424697876,645.7647094726562
89,1.0,0.33255264,0.0,0.5,0.3325574994087219,644.7514038085938
90,1.0,0.3325631,0.0,0.5,0.33256784081459045,643.7715454101562
91,1.0,0.33257294,0.0,0.5,0.332576721906662,642.8412475585938
92,1.0,0.3325809,0.0,0.5,0.3325849771499634,641.9056396484375
93,1.0,0.3325892,0.0,0.5,0.33259373903274536,640.96875
94,1.0,0.33259705,0.0,0.5,0.3326002359390259,640.017333984375
95,1.0,0.33260396,0.0,0.5,0.33260807394981384,639.0472412109375
96,1.0,0.33261123,0.0,0.5,0.33261486887931824,638.054443359375
97,1.0,0.3326181,0.0,0.5,0.33262234926223755,637.04443359375
98,1.0,0.3326255,0.0,0.5,0.3326292037963867,636.0145263671875
99,1.0,0.3326331,0.0,0.5,0.3326370120048523,634.9627075195312
